variable,description,n,mean,sd,min,p25,median,p75,max
outcome_ppd,PDS rate (harmonized),180,12.974444444444442,3.015604152523598,6.9,11.1,12.7,14.525,27.6
pche_index,PCHE composite index,180,0.0,0.7489751895605143,-2.563904540857749,-0.49133437284748716,0.19243107875368973,0.5159366282476525,1.2863703656743077
QUO197,Partner argued more than usual (12 mo before birth),180,24.33388888888889,3.508268985197907,16.7,22.1,24.05,26.225,41.1
QUO210,Any partner-related stressors,180,29.50722222222223,3.8634084953235335,19.8,27.0,28.95,31.9,48.9
QUO313,Physical IPV by ex-partner (before pregnancy),103,4.390291262135921,1.6668341815683017,1.8,3.4,4.1,5.0,16.3
QUO315,Physical IPV by ex-partner (during pregnancy),103,2.621359223300971,1.3002752714168695,0.9,1.85,2.3,3.1,10.9
QUO41,Took multivitamins >4x/week month before pregnancy,180,37.46777777777778,4.651781127679871,24.2,34.4,37.55,41.05,47.9
QUO65,Took daily multivitamin in month before pregnancy,180,30.99,4.006978549352625,18.7,28.4,31.05,34.0,39.4
QUO257,Was trying to become pregnant,180,49.82833333333333,5.890075688827074,34.3,45.275,50.650000000000006,54.125,62.7
QUO4,Still breastfeeding at 4 weeks postpartum,180,68.96722222222222,10.458814307086532,37.9,60.675000000000004,69.65,79.0,86.6
QUO5,Ever breastfed or pumped breast milk,180,81.47611111111111,8.868740936437439,53.5,74.975,81.6,90.025,95.6
QUO44,Still breastfeeding at 8 weeks postpartum,180,59.126666666666665,11.055409454755193,27.1,50.724999999999994,59.05,69.45,78.2
QUO101,Baby had checkup/exam within first week,180,90.94888888888889,5.0006646361486595,71.5,88.57499999999999,92.1,94.5,98.5
