risk_qid,dropped_component,dropped_description,n,interaction_beta,interaction_p,adj_r2
QUO197,QUO41,Took multivitamins >4x/week month before pregnancy,180,-0.36893674240628627,0.0035433177585919573,0.4482036960223621
QUO197,QUO65,Took daily multivitamin in month before pregnancy,180,-0.40392173563601264,0.0016403593428016006,0.4442846873273536
QUO197,QUO257,Was trying to become pregnant,180,-0.3151283067085642,0.012138359038772917,0.45047513436677744
QUO197,QUO4,Still breastfeeding at 4 weeks postpartum,180,-0.3442032983323664,0.004410301465589628,0.46255691138481336
QUO197,QUO5,Ever breastfed or pumped breast milk,180,-0.34433606247461834,0.004471794953006869,0.4578784344936845
QUO197,QUO44,Still breastfeeding at 8 weeks postpartum,180,-0.34165343153376043,0.004467207000391715,0.46405864307080014
QUO197,QUO101,Baby had checkup/exam within first week,180,-0.41149357991413016,0.0024884408945677894,0.4140543059854753
QUO210,QUO41,Took multivitamins >4x/week month before pregnancy,180,-0.351765983778466,0.004348940745185104,0.46935087074328197
QUO210,QUO65,Took daily multivitamin in month before pregnancy,180,-0.38645532023629015,0.0019973031432913846,0.4671376347477926
QUO210,QUO257,Was trying to become pregnant,180,-0.30609514788846837,0.012517150507981523,0.4717921872627351
QUO210,QUO4,Still breastfeeding at 4 weeks postpartum,180,-0.3365166443596789,0.004177745410982592,0.4796953860518498
QUO210,QUO5,Ever breastfed or pumped breast milk,180,-0.3366589523737602,0.0041685316121169436,0.4759182804678108
QUO210,QUO44,Still breastfeeding at 8 weeks postpartum,180,-0.3332429530731248,0.0043301203821966006,0.4808841724438875
QUO210,QUO101,Baby had checkup/exam within first week,180,-0.4070535619589559,0.001817888099529652,0.44749184703590716
QUO313,QUO41,Took multivitamins >4x/week month before pregnancy,103,-0.04619851901446914,0.7201454778493424,0.5702180901872543
QUO313,QUO65,Took daily multivitamin in month before pregnancy,103,-0.06275047150031976,0.6428227398390027,0.5668393090312616
QUO313,QUO257,Was trying to become pregnant,103,-0.017328662679069406,0.8899864450989254,0.5677295506756795
QUO313,QUO4,Still breastfeeding at 4 weeks postpartum,103,-0.0724662310893812,0.5430915312680575,0.5757782953187214
QUO313,QUO5,Ever breastfed or pumped breast milk,103,-0.07448015241956162,0.5280833556600992,0.5748889502544581
QUO313,QUO44,Still breastfeeding at 8 weeks postpartum,103,-0.06719440962512234,0.5707833121086394,0.5752687468347955
QUO313,QUO101,Baby had checkup/exam within first week,103,-0.0702527535043358,0.6234010260386924,0.5588102047747172
QUO315,QUO41,Took multivitamins >4x/week month before pregnancy,103,-0.06726001405706294,0.6055359204559143,0.5845352191103171
QUO315,QUO65,Took daily multivitamin in month before pregnancy,103,-0.08157220142872434,0.5480242782300784,0.5816172512818729
QUO315,QUO257,Was trying to become pregnant,103,-0.0341188783702524,0.7873811530743167,0.5829317509814661
QUO315,QUO4,Still breastfeeding at 4 weeks postpartum,103,-0.077120015361412,0.5253637833969924,0.5877186456227643
QUO315,QUO5,Ever breastfed or pumped breast milk,103,-0.07872761281411123,0.5114235462590246,0.5887063980490728
QUO315,QUO44,Still breastfeeding at 8 weeks postpartum,103,-0.07425018890284196,0.5382858539684459,0.5876365973636966
QUO315,QUO101,Baby had checkup/exam within first week,103,-0.06222386641274347,0.6627534535695445,0.5762942471609074
