risk_qid,excluded_state,n,interaction_beta,interaction_p
QUO197,AK,173,-0.3904286426605095,0.0024839358419042057
QUO197,AR,177,-0.3425662263421748,0.0042295133228400505
QUO197,CO,172,-0.36691370491883724,0.004349196831076707
QUO197,DE,175,-0.3535327248994463,0.004753138900145615
QUO197,GA,172,-0.37553732663856804,0.0022736636789084663
QUO197,HI,172,-0.4214649199321915,0.0012559998435770492
QUO197,MA,175,-0.3796007821258972,0.0026790837102719234
QUO197,MD,172,-0.36537828820308216,0.004960995111565891
QUO197,ME,172,-0.3544317863676434,0.007190697314864547
QUO197,MI,177,-0.341923345892992,0.006510716840862463
QUO197,MN,172,-0.413267458397927,0.0018129670850095536
QUO197,MO,176,-0.36086740984749544,0.004552454632702485
QUO197,NC,176,-0.3919104201684022,0.0015202732462566981
QUO197,NE,172,-0.3746914874312867,0.004628477576383627
QUO197,NJ,177,-0.3850648267655291,0.0020884365086457635
QUO197,NM,177,-0.4092188363277369,0.0007809523108364136
QUO197,NY,173,-0.3778529289182301,0.004048267633287805
QUO197,OH,174,-0.35028435585337414,0.004678725402187389
QUO197,OK,177,-0.36178150399964826,0.0038787736122380956
QUO197,OR,172,-0.3614108156261169,0.004942139227462228
QUO197,PA,175,-0.34129581243286583,0.0070680058290493175
QUO197,RI,172,-0.3822505355624204,0.00412115958268755
QUO197,SC,176,-0.32413097601418717,0.006527426738137221
QUO197,TN,178,-0.35426530093997705,0.003718490286446885
QUO197,TX,178,-0.35612597465874174,0.004729666762209428
QUO197,UT,172,-0.2614887553996926,0.03716846212328906
QUO197,VT,172,-0.35092448785851815,0.006139454397037447
QUO197,WA,172,-0.29539957268956984,0.021325057545895865
QUO197,WI,175,-0.3679604853598586,0.004667591224416734
QUO197,WV,177,-0.3460174738081822,0.004360728676552128
QUO197,WY,175,-0.3687806474267567,0.004218548388857268
QUO197,YC,178,-0.3696743255762932,0.0030764777947052124
QUO210,AK,173,-0.3828835810344964,0.0023669388100828748
QUO210,AR,177,-0.3293080552432146,0.004910394060992029
QUO210,CO,172,-0.3538137977596618,0.004566790919422248
QUO210,DE,175,-0.3443692561008902,0.00466553034620909
QUO210,GA,172,-0.35738188659486514,0.00279928201606805
QUO210,HI,172,-0.40973762073687103,0.0012268164279942706
QUO210,MA,175,-0.37027845007421184,0.0026463882770333402
QUO210,MD,172,-0.36115264742361197,0.00432412199506782
QUO210,ME,172,-0.32948392722643727,0.00999351142829319
QUO210,MI,177,-0.3326130121928537,0.00651950199490936
QUO210,MN,172,-0.395660278385469,0.0020804501739113412
QUO210,MO,176,-0.35092865333053763,0.0045678274606133495
QUO210,NC,176,-0.37810839713269373,0.0016892652663089702
QUO210,NE,172,-0.365493062160144,0.004456659262739748
QUO210,NJ,177,-0.37283163122681007,0.002161093520413493
QUO210,NM,177,-0.3953402104777025,0.000849753818782828
QUO210,NY,173,-0.3723726872128928,0.0034633754267032746
QUO210,OH,174,-0.3423676638158438,0.0045083672686014875
QUO210,OK,177,-0.35256523782291155,0.0038436344891950025
QUO210,OR,172,-0.3484946338230692,0.0053639335392630105
QUO210,PA,175,-0.3351865717028464,0.006679070405339882
QUO210,RI,172,-0.365966978010555,0.0046322596990424625
QUO210,SC,176,-0.3165823620445065,0.006330462684814853
QUO210,TN,178,-0.34786550529204674,0.0032530391933611735
QUO210,TX,178,-0.34565495439406124,0.004790413527763437
QUO210,UT,172,-0.2254753140607646,0.06161646709410751
QUO210,VT,172,-0.34445390604794346,0.005545480859113772
QUO210,WA,172,-0.3207226565825747,0.010087675540075836
QUO210,WI,175,-0.3528807795541644,0.005127866280122628
QUO210,WV,177,-0.3359134778065359,0.0045381440636655945
QUO210,WY,175,-0.35461240569983304,0.004424745361223392
QUO210,YC,178,-0.3604882117045732,0.002975234509067448
QUO313,AK,98,-0.06144853581991261,0.6548476606729099
QUO313,AR,100,-0.04973582901208351,0.677340137617588
QUO313,CO,98,-0.04455283540268108,0.7294479241012604
QUO313,DE,101,-0.06800604544012678,0.5922576987414858
QUO313,GA,98,-0.0597729467081618,0.6245369021070126
QUO313,HI,95,-0.19309607578961652,0.15263362839185013
QUO313,MA,101,-0.02498997785129861,0.8439345925331427
QUO313,MD,98,-0.06433556135076465,0.6325584719477115
QUO313,ME,98,-0.03341788352234443,0.7982359677669137
QUO313,MN,98,-0.06622561261511217,0.6120586140485371
QUO313,NC,99,-0.04868930413834323,0.6887007213474794
QUO313,NE,98,-0.036073803850371844,0.7821748921043867
QUO313,NM,101,-0.1912027463306563,0.1212536145578107
QUO313,NY,98,-0.059133502054515175,0.6571831823750671
QUO313,OH,99,-0.06226382965803179,0.6246003271013292
QUO313,OR,98,-0.051569064592632635,0.6917542580029845
QUO313,PA,101,-0.05561321315190959,0.6566427259167034
