location,n_obs,years_covered,year_min,year_max,pche_components_available,era_coverage
AK,7,"2004, 2005, 2006, 2007, 2008, 2009, 2010",2004,2010,7,"2004-2008, 2009-2011"
AR,3,"2009, 2010, 2011",2009,2011,7,2009-2011
CO,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
DE,5,"2007, 2008, 2009, 2010, 2011",2007,2011,7,"2004-2008, 2009-2011"
GA,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
HI,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
IL,1,2009,2009,2009,7,2009-2011
MA,5,"2007, 2008, 2009, 2010, 2011",2007,2011,7,"2004-2008, 2009-2011"
MD,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
ME,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
MI,3,"2009, 2010, 2011",2009,2011,7,2009-2011
MN,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
MO,4,"2007, 2009, 2010, 2011",2007,2011,7,"2004-2008, 2009-2011"
MS,1,2009,2009,2009,7,2009-2011
NC,4,"2004, 2005, 2007, 2008",2004,2008,7,2004-2008
NE,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
NJ,3,"2009, 2010, 2011",2009,2011,7,2009-2011
NM,3,"2004, 2005, 2011",2004,2011,7,"2004-2008, 2009-2011"
NY,7,"2004, 2005, 2006, 2007, 2008, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
OH,6,"2005, 2006, 2007, 2008, 2009, 2010",2005,2010,7,"2004-2008, 2009-2011"
OK,3,"2009, 2010, 2011",2009,2011,7,2009-2011
OR,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
PA,5,"2007, 2008, 2009, 2010, 2011",2007,2011,7,"2004-2008, 2009-2011"
RI,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
SC,4,"2004, 2005, 2006, 2007",2004,2007,7,2004-2008
SD,1,2007,2007,2007,7,2004-2008
TN,2,"2008, 2009",2008,2009,7,"2004-2008, 2009-2011"
TX,2,"2009, 2010",2009,2010,7,2009-2011
UT,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
VT,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
WA,8,"2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011",2004,2011,7,"2004-2008, 2009-2011"
WI,5,"2007, 2008, 2009, 2010, 2011",2007,2011,7,"2004-2008, 2009-2011"
WV,3,"2009, 2010, 2011",2009,2011,7,2009-2011
WY,5,"2007, 2008, 2009, 2010, 2011",2007,2011,7,"2004-2008, 2009-2011"
YC,2,"2010, 2011",2010,2011,7,2009-2011
