risk_qid,component_qid,component_description,n,interaction_beta,interaction_se,interaction_p,adj_r2,interaction_fdr
QUO197,QUO257,Was trying to become pregnant,180,-0.5676055390273045,0.14338560550571103,0.00010926911307462817,0.4184387790885479,0.0016623636820352061
QUO210,QUO257,Was trying to become pregnant,180,-0.5310838530493347,0.13489846396972774,0.00011874026300251472,0.45729328546002646,0.0016623636820352061
QUO197,QUO4,Still breastfeeding at 4 weeks postpartum,180,-0.5169712398544304,0.1589774204175151,0.0013742287986713286,0.3993586175672419,0.00645035080852896
QUO210,QUO4,Still breastfeeding at 4 weeks postpartum,180,-0.49477478413450027,0.1533904033951988,0.0014988949093108772,0.44262768836934974,0.00645035080852896
QUO210,QUO44,Still breastfeeding at 8 weeks postpartum,180,-0.4929154063303871,0.15381463894026556,0.0016059796152256833,0.4420747624330359,0.00645035080852896
QUO197,QUO5,Ever breastfed or pumped breast milk,180,-0.5118681983622639,0.16078704475352953,0.0017207213682823852,0.4023061295602727,0.00645035080852896
QUO210,QUO5,Ever breastfed or pumped breast milk,180,-0.49515458466905726,0.15641231894534663,0.001823524624785522,0.44367285615339513,0.00645035080852896
QUO197,QUO44,Still breastfeeding at 8 weeks postpartum,180,-0.5050783277614822,0.15971169378598166,0.001842957373865417,0.39703371920412855,0.00645035080852896
QUO197,QUO101,Baby had checkup/exam within first week,180,-0.4008023699196328,0.1340255634688191,0.0031845410199142776,0.529178863320378,0.009907460950844419
QUO210,QUO41,Took multivitamins >4x/week month before pregnancy,180,-0.356351348488137,0.12895080962281694,0.006327526070147194,0.446658885240215,0.01771707299641214
QUO197,QUO41,Took multivitamins >4x/week month before pregnancy,180,-0.32955402919684407,0.13601544134663907,0.016409973214723816,0.4136127677943009,0.04177084091020608
QUO210,QUO101,Baby had checkup/exam within first week,180,-0.2803057081369773,0.1271567391593917,0.028792381869906736,0.5597131523376113,0.06718222436311572
QUO210,QUO65,Took daily multivitamin in month before pregnancy,180,-0.24047809053780478,0.1268331111137518,0.05959602473653258,0.4507902096811054,0.12836066866330095
QUO313,QUO257,Was trying to become pregnant,103,-0.31933080585928963,0.17656983393711032,0.073560667332919,0.52684837501753,0.147121334665838
QUO197,QUO65,Took daily multivitamin in month before pregnancy,180,-0.21699901725789217,0.13331183242194738,0.10536567270248565,0.42456175163748056,0.19668258904463987
QUO315,QUO257,Was trying to become pregnant,103,-0.2768393661843127,0.1787207677867941,0.12457145734447717,0.5387462854476537,0.21800005035283504
QUO313,QUO101,Baby had checkup/exam within first week,103,0.09196796348260872,0.1815880345076107,0.61365641636023,0.47152652868453926,0.9707813297011455
QUO313,QUO5,Ever breastfed or pumped breast milk,103,0.094427182960787,0.21331818223556576,0.6589781653328746,0.5202311606863446,0.9707813297011455
QUO313,QUO41,Took multivitamins >4x/week month before pregnancy,103,-0.06142749248897328,0.14307337526730107,0.6686068640421681,0.5126367017730902,0.9707813297011455
QUO315,QUO65,Took daily multivitamin in month before pregnancy,103,0.03508653003737372,0.12940861012380628,0.7868557259825086,0.5251189192724914,0.9707813297011455
QUO313,QUO4,Still breastfeeding at 4 weeks postpartum,103,0.044293048131538226,0.19613175479587314,0.8217967780475095,0.5224230633466181,0.9707813297011455
QUO315,QUO41,Took multivitamins >4x/week month before pregnancy,103,-0.02853118183239789,0.14394783169741474,0.8432911018922229,0.5318281283970667,0.9707813297011455
QUO315,QUO4,Still breastfeeding at 4 weeks postpartum,103,-0.03078763990583533,0.18782062018513138,0.8701279603868817,0.5461856385037472,0.9707813297011455
QUO313,QUO44,Still breastfeeding at 8 weeks postpartum,103,0.030636691129096026,0.19461709535959698,0.8752341970019728,0.5260051174314511,0.9707813297011455
QUO313,QUO65,Took daily multivitamin in month before pregnancy,103,0.017957939177479752,0.12794866018689421,0.8886664978351249,0.505047254886705,0.9707813297011455
QUO315,QUO5,Ever breastfed or pumped breast milk,103,0.020850581542693997,0.2044460202695696,0.9189742641755423,0.5371911952455234,0.9707813297011455
QUO315,QUO44,Still breastfeeding at 8 weeks postpartum,103,-0.01500285456279915,0.18668794581884648,0.9361105679261046,0.548671632733376,0.9707813297011455
QUO315,QUO101,Baby had checkup/exam within first week,103,0.002526117793983258,0.18428097445353028,0.9890905530093392,0.4886922885996934,0.9890905530093393
