combination,n_items,components,cronbach_alpha,risk_qid,n,ols_beta,ols_se,ols_p,fe_beta,fe_se,fe_p,cr_beta,cr_se,cr_p
Intentionality + Nutritional,3,"QUO257, QUO41, QUO65",0.9419497104948936,QUO197,180,-0.36939183947818255,0.13301630779206428,0.006079982569058284,-0.290673332460089,0.18418861721721402,0.11687642599000347,-0.290673332460089,0.18942227672359707,0.13415446632523365
Intentionality + Nutritional,3,"QUO257, QUO41, QUO65",0.9419497104948936,QUO210,180,-0.377658978628892,0.12582576090653239,0.0030776277934849716,-0.34943837927358984,0.1776165258065976,0.05119006607668508,-0.34943837927358984,0.21685060741504708,0.11633307152599981
Intentionality + Postpartum Engagement,5,"QUO257, QUO4, QUO5, QUO44, QUO101",0.805063553457776,QUO197,180,-0.4354563496729301,0.13119531298070383,0.001097431081074074,-0.5492091258175805,0.20882226358875922,0.009529193556068627,-0.5492091258175805,0.19172190798242233,0.007107806273902728
Intentionality + Postpartum Engagement,5,"QUO257, QUO4, QUO5, QUO44, QUO101",0.805063553457776,QUO210,180,-0.40610145466654046,0.1285061044592306,0.001856563554934132,-0.5598892124249494,0.20767883330199582,0.007912701014463064,-0.5598892124249494,0.22348168310785219,0.017188573464744117
Nutritional + Postpartum Engagement,6,"QUO41, QUO65, QUO4, QUO5, QUO44, QUO101",0.837849728826118,QUO197,180,-0.3151283067085642,0.12434402668077482,0.012138359038772917,-0.4453334711248734,0.2004721677608776,0.027988023227441428,-0.4453334711248734,0.21451717695183398,0.04552697382397497
Nutritional + Postpartum Engagement,6,"QUO41, QUO65, QUO4, QUO5, QUO44, QUO101",0.837849728826118,QUO210,180,-0.30609514788846837,0.12131523222712554,0.012517150507981523,-0.4904569603154112,0.19807079661588797,0.014516894578284978,-0.4904569603154112,0.22696165142567662,0.037832148023474454
Nutritional only,2,"QUO41, QUO65",0.9746158972927641,QUO197,180,-0.27179856424946336,0.13382597723605452,0.04376096910158034,-0.22495802635731837,0.18375529713072888,0.22299909648327199,-0.22495802635731837,0.1918863901740994,0.2492056548382613
Nutritional only,2,"QUO41, QUO65",0.9746158972927641,QUO210,180,-0.2979851070279629,0.12715930205555068,0.020225900739146763,-0.30778472446648136,0.17798783643696597,0.08605096125223755,-0.30778472446648136,0.21616158067623412,0.1635990642031333
Intentionality only,1,QUO257,,QUO197,180,-0.5676055390273045,0.14338560550571103,0.00010926911307462817,-0.4915090100733922,0.18852151567699726,0.010155776667989613,-0.4915090100733922,0.17122442393284026,0.007001544363843593
Intentionality only,1,QUO257,,QUO210,180,-0.5310838530493318,0.13489846396972774,0.00011874026300251472,-0.5211745996598547,0.1842975534381272,0.005399527658603409,-0.5211745996598547,0.19386137829841707,0.01103814891725552
Postpartum Engagement only,4,"QUO4, QUO5, QUO44, QUO101",0.7779966751521276,QUO197,180,-0.40723342187840794,0.1399882993154129,0.004093026233766839,-0.4533595807257193,0.22046075333752152,0.04166845334402791,-0.4533595807257193,0.2222053265841606,0.04915111123569327
Postpartum Engagement only,4,"QUO4, QUO5, QUO44, QUO101",0.7779966751521276,QUO210,180,-0.36386747620627935,0.13746813923424053,0.008859597256143381,-0.4284296550811387,0.2178972128507868,0.05132707323293184,-0.4284296550811387,0.27809136048870714,0.1326688848243993
Full 7-component primary,7,"QUO41, QUO65, QUO257, QUO4, QUO5, QUO44, QUO101",0.8695589809416479,QUO197,180,-0.3613977602376067,0.12323356665450687,0.003808288255138459,-0.4593583735475626,0.19677906244893653,0.02105099762176521,-0.4593583735475626,0.21103578135828796,0.03654299453848142
Full 7-component primary,7,"QUO41, QUO65, QUO257, QUO4, QUO5, QUO44, QUO101",0.8695589809416479,QUO210,180,-0.35119937321582895,0.11979497794354023,0.003819452060170647,-0.5023823690933936,0.1939940703569776,0.010660330245515048,-0.5023823690933936,0.2256185663494155,0.03269758392447364
