pche_variant,risk_qid,excluded_state,n,interaction_beta,interaction_se,interaction_p
strict_preconception_8,QUO197,AK,173,-0.42497958998157737,0.13360083786897,0.0017467261529182654
strict_preconception_8,QUO197,AR,177,-0.40010388207488967,0.1261093727225554,0.0017875748070290687
strict_preconception_8,QUO197,CO,172,-0.4323308548144067,0.1372814031241465,0.0019378918237533682
strict_preconception_8,QUO197,DE,175,-0.40433381457125805,0.12999801508149672,0.0021901625519189505
strict_preconception_8,QUO197,GA,172,-0.4459442172499608,0.12718093394565239,0.0005826666286776749
strict_preconception_8,QUO197,HI,172,-0.425529648877116,0.1338721781381096,0.001761818999510334
strict_preconception_8,QUO197,IL,179,-0.3992624260683002,0.12961181664618818,0.0024009548811525505
strict_preconception_8,QUO197,MA,175,-0.425128163104173,0.1304370590890228,0.001347763387592682
strict_preconception_8,QUO197,MD,172,-0.4143574376429089,0.13482451745234683,0.0024708111329994065
strict_preconception_8,QUO197,ME,172,-0.40259848454170066,0.13832239970690607,0.0040969254174301195
strict_preconception_8,QUO197,MI,177,-0.3935756748267393,0.13181500799391532,0.003238430850664109
strict_preconception_8,QUO197,MN,172,-0.4620867742776042,0.1374038417813533,0.0009549736168723566
strict_preconception_8,QUO197,MO,176,-0.4100743246038965,0.13300891911505544,0.0023871130998815993
strict_preconception_8,QUO197,MS,179,-0.4445085265270372,0.12919356370167537,0.0007256809833691147
strict_preconception_8,QUO197,NC,176,-0.44321659949063963,0.1286100880463764,0.000714517163141748
strict_preconception_8,QUO197,NE,172,-0.43222632426983276,0.1375554854075809,0.001982380192906863
strict_preconception_8,QUO197,NJ,177,-0.42595326149532076,0.13062147705213842,0.0013373147117881068
strict_preconception_8,QUO197,NM,177,-0.41010782050170325,0.127423513741062,0.0015389854784939594
strict_preconception_8,QUO197,NY,173,-0.43848583705522715,0.13685420253191197,0.001620041084693602
strict_preconception_8,QUO197,OH,174,-0.42291528432144854,0.13216551288666828,0.0016405007914270797
strict_preconception_8,QUO197,OK,177,-0.41270717687162883,0.1307947853443887,0.0018907889143227052
strict_preconception_8,QUO197,OR,172,-0.42075674084828196,0.13645708710019264,0.0023926394588569266
strict_preconception_8,QUO197,PA,175,-0.39231066000019843,0.1342790719682927,0.003952824279470413
strict_preconception_8,QUO197,RI,172,-0.44704149917529645,0.13803027450984062,0.0014470949510008158
strict_preconception_8,QUO197,SC,176,-0.38369383936701235,0.12530886400584323,0.0025522486353921625
strict_preconception_8,QUO197,SD,179,-0.2916286993944328,0.16045449616103125,0.07084844161498283
strict_preconception_8,QUO197,TN,178,-0.42987847348102304,0.12841211938357425,0.0009988856420291015
strict_preconception_8,QUO197,TX,178,-0.414595829235775,0.1295108802640492,0.0016268709818301197
strict_preconception_8,QUO197,UT,172,-0.27571376483792487,0.13260827875155232,0.03912191876636517
strict_preconception_8,QUO197,VT,172,-0.38198117007213805,0.13108524554551843,0.004054597515346758
strict_preconception_8,QUO197,WA,172,-0.3726770625800282,0.13543148669671576,0.006578296002038186
strict_preconception_8,QUO197,WI,175,-0.419709651795136,0.1367490475282959,0.0024967102522721607
strict_preconception_8,QUO197,WV,177,-0.40612104769189417,0.1302478825926059,0.0021325793238589075
strict_preconception_8,QUO197,WY,175,-0.41624258245538537,0.13474246632893294,0.002343130177675068
strict_preconception_8,QUO197,YC,178,-0.41170220780651157,0.13056458810141602,0.0019021609317888544
strict_preconception_8,QUO210,AK,173,-0.42783542465150926,0.12588336748934784,0.0008446463346483135
strict_preconception_8,QUO210,AR,177,-0.3965493923079808,0.11936780298983435,0.0010901840656549755
strict_preconception_8,QUO210,CO,172,-0.43566876098824014,0.1286584305218244,0.0008823474160735145
strict_preconception_8,QUO210,DE,175,-0.41069224271307125,0.12237598791937672,0.0009743964654098658
strict_preconception_8,QUO210,GA,172,-0.4374109246312915,0.12027572510788972,0.0003669390608671552
strict_preconception_8,QUO210,HI,172,-0.43337855013292315,0.12654854289611348,0.0007737540743486537
strict_preconception_8,QUO210,IL,179,-0.402752993449785,0.1218401933244757,0.0011498555369946484
strict_preconception_8,QUO210,MA,175,-0.43022685195136456,0.12310622299490388,0.0006043054052176089
strict_preconception_8,QUO210,MD,172,-0.4253761642208216,0.12725193175045924,0.0010225228933684605
strict_preconception_8,QUO210,ME,172,-0.3854768919018321,0.13034271963485147,0.003549552848610471
strict_preconception_8,QUO210,MI,177,-0.4006547915065115,0.12422506757342265,0.0015050808049938968
strict_preconception_8,QUO210,MN,172,-0.4545457069947343,0.12924502453875633,0.0005615190664236547
strict_preconception_8,QUO210,MO,176,-0.41496082273739,0.12527740779182397,0.0011277439598360584
strict_preconception_8,QUO210,MS,179,-0.4447566173606521,0.1215326264297502,0.00033422881227074264
strict_preconception_8,QUO210,NC,176,-0.44953433835777323,0.12157271651688444,0.00029239748310350144
strict_preconception_8,QUO210,NE,172,-0.43562282823643617,0.12937773656560564,0.0009418471697404396
strict_preconception_8,QUO210,NJ,177,-0.42746367686176123,0.12306876500293805,0.0006493916835754732
strict_preconception_8,QUO210,NM,177,-0.4138391520308746,0.11966555509480113,0.0006843230129613964
strict_preconception_8,QUO210,NY,173,-0.4421282204009971,0.12813075725395187,0.0007064740236972789
strict_preconception_8,QUO210,OH,174,-0.426058626317826,0.12455004017471327,0.0007819719378359125
strict_preconception_8,QUO210,OK,177,-0.41683097458414986,0.1233062527550987,0.0008945035134326762
strict_preconception_8,QUO210,OR,172,-0.42267835972607626,0.12856554317560384,0.0012303531734061401
strict_preconception_8,QUO210,PA,175,-0.40396661011771795,0.12656152863664502,0.0016824587302091132
strict_preconception_8,QUO210,RI,172,-0.43836906308878343,0.1303418322006953,0.0009541860010167103
strict_preconception_8,QUO210,SC,176,-0.3898859591655778,0.11832536622362302,0.001195081533526876
strict_preconception_8,QUO210,SD,179,-0.3671557677346775,0.15496164345652705,0.01890959484136223
strict_preconception_8,QUO210,TN,178,-0.4329267220474837,0.12042939939330492,0.0004224757832398396
strict_preconception_8,QUO210,TX,178,-0.41833088552355124,0.12208586705385284,0.000762847638952513
strict_preconception_8,QUO210,UT,172,-0.2631500537812719,0.12353541927346443,0.03461425570506038
strict_preconception_8,QUO210,VT,172,-0.3928930278706544,0.12300668896277994,0.0016753295113991484
strict_preconception_8,QUO210,WA,172,-0.40803329256616205,0.12798490452747427,0.0017081138899381898
strict_preconception_8,QUO210,WI,175,-0.4173006162066506,0.1280746578617148,0.0013522332888264987
strict_preconception_8,QUO210,WV,177,-0.4103663740577449,0.12275533046590645,0.001015999546332802
strict_preconception_8,QUO210,WY,175,-0.41938205996036104,0.1262120072220977,0.0010898402885599623
strict_preconception_8,QUO210,YC,178,-0.41736601198910284,0.12313850379641192,0.0008665563214482752
narrow_prepreg_5,QUO197,AK,173,-0.4188297603430875,0.1343042035146152,0.002137192643349106
narrow_prepreg_5,QUO197,AR,177,-0.3840243148822835,0.12616038341119382,0.002699773897213653
narrow_prepreg_5,QUO197,CO,172,-0.41989555023968195,0.13656462418280893,0.002459920831974216
narrow_prepreg_5,QUO197,DE,175,-0.3980979410870136,0.13039327299855458,0.002627534207252591
narrow_prepreg_5,QUO197,GA,172,-0.431693228677843,0.12590872073081447,0.0007631359889728184
narrow_prepreg_5,QUO197,HI,172,-0.4231592530658996,0.134244358910557,0.0019196637214644596
narrow_prepreg_5,QUO197,IL,179,-0.391957538861869,0.1297470634267106,0.002897705267695727
narrow_prepreg_5,QUO197,MA,175,-0.41759769838968763,0.13090897328131826,0.0016927836302123023
narrow_prepreg_5,QUO197,MD,172,-0.4142290437160212,0.13542829846013454,0.0025880727286267113
narrow_prepreg_5,QUO197,ME,172,-0.39278124820774996,0.13829493822961708,0.0050664306261680725
narrow_prepreg_5,QUO197,MI,177,-0.38428298479816914,0.13226024064439096,0.004145938413945283
narrow_prepreg_5,QUO197,MN,172,-0.45403457521823676,0.13819432195937745,0.001239285144340796
narrow_prepreg_5,QUO197,MO,176,-0.4031448276534062,0.13342257267809082,0.0028988303826289474
narrow_prepreg_5,QUO197,MS,179,-0.4422846808136705,0.12964974357239406,0.0008027159526189376
narrow_prepreg_5,QUO197,NC,176,-0.4350844494020327,0.12887783474335626,0.0009094282563875122
narrow_prepreg_5,QUO197,NE,172,-0.42241369164581044,0.13840730505607354,0.0026433816626483253
narrow_prepreg_5,QUO197,NJ,177,-0.4223889897234896,0.13099676714855457,0.0015091003887683918
narrow_prepreg_5,QUO197,NM,177,-0.4214191560217919,0.12770272103148747,0.0011740961673181172
narrow_prepreg_5,QUO197,NY,173,-0.4310132620904742,0.13693888271446836,0.0019469669606557716
narrow_prepreg_5,QUO197,OH,174,-0.4073312591894245,0.1318912495648579,0.002351054962581145
narrow_prepreg_5,QUO197,OK,177,-0.4051632377279389,0.13110049465426377,0.002329356674789951
narrow_prepreg_5,QUO197,OR,172,-0.4130835405705606,0.13666807091788064,0.002899532776259095
narrow_prepreg_5,QUO197,PA,175,-0.3843507582467527,0.13456896095230794,0.004819705680816799
narrow_prepreg_5,QUO197,RI,172,-0.4351300989139464,0.13866353049256222,0.002009181630221013
