variant,n_components,risk_qid,n,ols_interaction_beta,ols_interaction_se,ols_interaction_p,cluster_perm_p,cluster_boot_ci_lo,cluster_boot_ci_hi,adj_r2
Primary 7-component,7,QUO197,180,-0.3613977602376067,0.12323356665450687,0.003808288255138459,0.1718,-0.719961598291269,0.09621145095119005,0.4482486087335755
Primary 7-component,7,QUO210,180,-0.35119937321582895,0.11979497794354023,0.003819452060170647,0.1764,-0.699676960138877,0.07162255255317662,0.4690273111769657
Full 12-component,11,QUO197,180,-0.40564742784132973,0.12222267957662081,0.0010982613846370892,0.128,-0.7480722560737961,0.04033916144289075,0.4507913792839904
Full 12-component,11,QUO210,180,-0.39203221220288853,0.1179879971112989,0.0010845675195234605,0.1398,-0.7685062747859475,-0.009537100742761099,0.47190516797530324
Without intent (6),6,QUO197,180,-0.3151283067085642,0.12434402668077482,0.012138359038772917,0.2384,-0.6660125902465389,0.15034045466727747,0.45047513436677744
Without intent (6),6,QUO210,180,-0.30609514788846837,0.12131523222712554,0.012517150507981523,0.2342,-0.6561491055290414,0.12682983174652387,0.4717921872627351
Strict pre-con (8),8,QUO197,180,-0.41077638448635334,0.13080023551467718,0.0019787715974837194,0.152,-0.7598591464250485,0.05648223361874027,0.42516055312313805
Strict pre-con (8),8,QUO210,180,-0.4153091906164281,0.12316404234171807,0.0009174857733760255,0.1296,-0.8222533753969734,-0.008013987985339427,0.4563784614642371
Narrow pre-preg (5),5,QUO197,180,-0.40263256213374476,0.13102119314598884,0.0024562310296729617,0.1616,-0.7700551280417939,0.05208969307419178,0.42414477500975134
Narrow pre-preg (5),5,QUO210,180,-0.4060487041167329,0.12377905719363036,0.0012495655400219796,0.1406,-0.7806187939658223,-0.0028993332160846394,0.45362707495602983
Narrow no intent (4),4,QUO197,180,-0.3149709274936674,0.1306531329572006,0.01694939760350156,0.2772,-0.6328326119029528,0.1618997255100443,0.42043506688721355
Narrow no intent (4),4,QUO210,180,-0.3359387387029329,0.12353487596227847,0.00719581621073595,0.2262,-0.6525600844656907,0.06690577101162434,0.44939627829832474
